content,sentiment
Jaringan nya selalu lag Aplikasi nya update terus,negatif
Keren,positif
Mantap bg moonton bang,positif
"Game kontool sering lag tiba"". Eh ini ga bisa login",positif
Game yg sangat bagus,positif
Game bagus heronya bagus tapi yg ga bagus nya tuh drak sistem S5 pick saber roam atau ga mau roam kadang kadang miya roam. Mungkin seginih sih,positif
mending ga usah download game ini bukanya nambah seneng pas lagi stress nya malah nambah stress,negatif
apalah,negatif
Jos,positif
Kerennnn,positif
Saya sangat senang dengan mobile legends ini karena punya pengalaman tersendiri dan itu luar biasa,positif
ndak tau kok tanya saya,negatif
mantabs..,positif
Keren,positif
Serubdan menantang,positif
bagus,positif
"Tolong pihak mobile legend, beratkan hukuman bagi pelaku afk!....",positif
Lebih baik hilangkan bot2 TDK masuk akal supaya permainan TDK merugikan team,positif
Bagus gem nya tapi kalo pas main suka geleg,positif
Game nya bagus,positif
Semoga jago,positif
Game paling bagus dari 2017 sampe sekarang,positif
"enak main ny , kdng"" bikin stres jga",positif
game nya asik seru cuma kadang dapet drack sistem😁,positif
seru,positif
B aja,positif
"Gw dapet tim gak jelas semua jangan percaya game ini mending ke hok aja lebih seru percaya sama gw ini game lebih jelek daripada hok, hok lebih bagus dan season baru muncul malah nambah dark sistem hapus aye dark sistem nya moonton men dong w pindah ke hok",negatif
Game nya mantap seru + bisa mabar jadi aku kasih bintang lima,positif
Bagus,positif
Moontonnn tolol gw di kasih ls mulu anjinggg²,negatif
Game mantap,positif
Saatnya gw spam afk di overdrive. Makasih moonton karna afk di overdrive gak akan kena report,negatif
Dark System!!!,negatif
nice moba makin mantap,positif
Perfect,positif
Game Ini Jelek Jadi Kalo Mau Bagus Sinyalnya Bagusin Juga Bodooh,positif
Scam,negatif
Bagusan ml dari pada hok,positif
Sangat bagus,positif
Apk ini membuat orang2 gila Tolong jangan ada kata2 kasar,negatif
Kurang bagus jelek,negatif
Wow,positif
Mantap,positif
Bagus,positif
gem nya seru kok,positif
Bagus,positif
"Game yang sangat ramah sampai"" tidak bisa berkata kasar, terkadang pada saat bermain seru, greget dan menantang, tapi kadang emosi karna dapat team Bolot kali padahal di mythic",positif
Game nya bagus,positif
Pemain lama baru beri rating😁😁,positif
Woi kasih win lah ajink lose mlu kerjaanmu monton ashu mau mytik aja susah anjik,positif
"Tolong bantu aku gimana cara game mlbb ku gk bisa dibuka cuman mentok di loading moonton dan mobile legend bangbang doang gitu terus keulang ulang bolak balik, pliss bantu aku masuk gamenya tolonggggg",negatif
Keren,positif
Pelit skin,positif
bagus,positif
JOSSS makan gratisannya banyak,positif
Nais,positif
🌟。💕。🤗 🍀 。🎁 。🎉 🍾 🌟 ✨。＼｜／。🌺 🎉 Happy 🥰 🎈 🍸 Birthday ! 🥂 💜。／｜＼。💎 。🍀。 🌹。🎉。 🌟。 😊。 🎶,positif
Begitulah,negatif
Anjay,positif
Karena di kasih skin epic gratis saya beri bintang 5,positif
emng gila game,positif
Gamenya seru dan asik bintang 5 buat mlbb semoga sukses selalu,positif
Nice,positif
Enak juga sih game nya,positif
gamenya sangat bagus,positif
dikasih losetreak mulu pengen gw sepiin game lu?????,negatif
seruu,positif
Mantap,positif
Mantul toon,positif
Game ini sngt menghibur,positif
Minimal kasi ws lah kONtll,negatif
BGus,positif
Game nya bagus banget bisa ngisi waktu luang,positif
BASHH,positif
good,positif
"Gamenya udh bagus tetapi timnya kurang bagus banyak dark sistem gk tau role, mikro, makro.",positif
Game paling burik(bagus🗿),positif
Permaina ini sangat bagus,positif
Jos h,positif
mantap,positif
Lumayan,positif
"Game sangat bagus, wajib dwonload sih",positif
Kurang nyaman dg seringnya update data,negatif
Saya sangat terhibur dengan game ini!!,positif
bagus mantap,positif
Bagus sih tapi masih ada drack sistem,positif
Game nya kerennn,positif
Kasih musuh yg drag sistem nonton capekk,positif
"Game nya bagus,saya suka",positif
seneng aja,positif
Bagus,positif
raasis semua playernya,negatif
"singkat aja, seru banget plis",positif
👎👎👎👎👎,positif
Ketemu dark system terus,negatif
b x Veksbdiedej diwwksbus kbduene d lol,positif
Bagus tetapi mohon untuk ngumpulin BP nya di permudah,positif
Kalo udah LS gak berenti berenti,positif
permainan sangat bagus dan apik,positif
Sumpah seeuh sih menurut ku asik bgt main nya,positif
Bagus,positif
